slug,name,modality,level,force,mechanic,equipment,primary_muscles,secondary_muscles,rest_seconds,source
agility-ladder-in-in-out-out,Agility Ladder In-In-Out-Out,cardio,beginner,push,compound,agility ladder,calves; quadriceps,abductors; abdominals,30,original
bicycling,Bicycling,cardio,beginner,,,other,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
bicycling-stationary,"Bicycling, Stationary",cardio,beginner,,,machine,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
box-step-over,Box Step-Over,cardio,beginner,push,compound,plyo box,quadriceps; glutes,hamstrings; calves,45,original
butt-kick-run,Butt Kick Run,cardio,beginner,push,compound,body only,hamstrings; calves,quadriceps; glutes,20,original
double-unders,Double Unders,cardio,expert,push,isolation,jump rope,calves,forearms; shoulders; quadriceps; abdominals,60,original
elliptical-trainer,Elliptical Trainer,cardio,intermediate,,,machine,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
high-knees,High Knees,cardio,beginner,push,compound,body only,quadriceps; abdominals,calves; glutes; hamstrings,30,original
hill-sprint,Hill Sprint,cardio,intermediate,push,compound,body only,quadriceps; glutes,hamstrings; calves; abdominals,120,original
jogging-treadmill,"Jogging, Treadmill",cardio,beginner,,,machine,quadriceps,glutes; hamstrings,60,free-exercise-db
jumping-jacks,Jumping Jacks,cardio,beginner,push,compound,body only,calves; shoulders,quadriceps; glutes; adductors; abductors,20,original
lateral-shuffle,Lateral Shuffle,cardio,beginner,push,compound,body only,quadriceps; abductors,glutes; calves; adductors,30,original
prowler-sprint,Prowler Sprint,cardio,beginner,push,compound,other,hamstrings,calves; chest; glutes; quadriceps; shoulders,60,free-exercise-db
recumbent-bike,Recumbent Bike,cardio,beginner,,,machine,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
rope-jumping,Rope Jumping,cardio,intermediate,,,other,quadriceps,calves; hamstrings,60,free-exercise-db
rowing-stationary,"Rowing, Stationary",cardio,intermediate,,,machine,quadriceps,biceps; calves; glutes; hamstrings; lower back; middle back,60,free-exercise-db
running-treadmill,"Running, Treadmill",cardio,beginner,,,machine,quadriceps,calves; glutes; hamstrings,60,free-exercise-db
shadow-boxing,Shadow Boxing,cardio,beginner,push,compound,body only,shoulders; abdominals,triceps; biceps; calves,60,original
shuttle-run,Shuttle Run,cardio,intermediate,push,compound,body only,quadriceps; hamstrings,calves; glutes; abdominals,90,original
skating,Skating,cardio,intermediate,,,other,quadriceps,abductors; adductors; calves; glutes; hamstrings,60,free-exercise-db
ski-erg,Ski Erg,cardio,beginner,pull,compound,ski erg,lats; triceps,abdominals; shoulders; glutes; hamstrings,60,original
